itemset,length,support
AG_AMEACA=2,1,0.72434
AUTOR_SEXO=1,1,0.69162
REDE_SAU=1,1,0.59946
ORIENT_SEX=1,1,0.59362
CS_RACA=4,1,0.4703
OUT_VEZES=1,1,0.43266
SIT_CONJUG=1,1,0.39292
OUT_VEZES=2,1,0.38316
CS_RACA=1,1,0.37706
REDE_SAU=2,1,0.36268
SG_UF=35,1,0.24982
AG_AMEACA=1,1,0.23168
SIT_CONJUG=2,1,0.22818
CS_ESCOL_N=09,1,0.21382
ORIENT_SEX=8,1,0.20752
SIT_CONJUG=8,1,0.18648
CS_ESCOL_N=06,1,0.18244
AUTOR_SEXO=2,1,0.16086
CS_ESCOL_N=03,1,0.13514
SG_UF=33,1,0.12492
CS_ESCOL_N=10,1,0.11674
CS_RACA=2,1,0.09972
SG_UF=41,1,0.09388
CS_ESCOL_N=05,1,0.09292
SG_UF=31,1,0.08474
AUTOR_SEXO=3,1,0.07676
CS_ESCOL_N=01,1,0.05956
SIT_CONJUG=4,1,0.05888
CS_ESCOL_N=04,1,0.057
SG_UF=43,1,0.05592
SG_UF=23,1,0.04716
SG_UF=26,1,0.04424
CS_ESCOL_N=08,1,0.04244
SG_UF=29,1,0.03754
SG_UF=42,1,0.03372
SG_UF=52,1,0.03034
AUTOR_SEXO=1 & ORIENT_SEX=1,2,0.47382
AG_AMEACA=2 & AUTOR_SEXO=1,2,0.47004
AG_AMEACA=2 & REDE_SAU=1,2,0.46016
AG_AMEACA=2 & ORIENT_SEX=1,2,0.40618
AUTOR_SEXO=1 & REDE_SAU=1,2,0.40126
ORIENT_SEX=1 & REDE_SAU=1,2,0.3587
AUTOR_SEXO=1 & OUT_VEZES=1,2,0.34954
AG_AMEACA=2 & CS_RACA=4,2,0.34212
AUTOR_SEXO=1 & CS_RACA=4,2,0.32292
AG_AMEACA=2 & OUT_VEZES=2,2,0.3158
ORIENT_SEX=1 & OUT_VEZES=1,2,0.29904
AUTOR_SEXO=1 & SIT_CONJUG=1,2,0.29536
ORIENT_SEX=1 & SIT_CONJUG=1,2,0.29234
AG_AMEACA=2 & SIT_CONJUG=1,2,0.28268
CS_RACA=4 & REDE_SAU=1,2,0.2768
CS_RACA=4 & ORIENT_SEX=1,2,0.2762
AG_AMEACA=2 & CS_RACA=1,2,0.27362
AUTOR_SEXO=1 & REDE_SAU=2,2,0.2677
AG_AMEACA=2 & OUT_VEZES=1,2,0.26474
AUTOR_SEXO=1 & CS_RACA=1,2,0.25914
OUT_VEZES=2 & REDE_SAU=1,2,0.25094
AUTOR_SEXO=1 & OUT_VEZES=2,2,0.24526
AG_AMEACA=2 & REDE_SAU=2,2,0.24078
REDE_SAU=1 & SIT_CONJUG=1,2,0.23846
OUT_VEZES=1 & REDE_SAU=1,2,0.2384
CS_RACA=1 & REDE_SAU=1,2,0.23822
ORIENT_SEX=1 & OUT_VEZES=2,2,0.23082
CS_RACA=1 & ORIENT_SEX=1,2,0.22956
ORIENT_SEX=1 & REDE_SAU=2,2,0.22054
AG_AMEACA=1 & AUTOR_SEXO=1,2,0.19724
ORIENT_SEX=1 & SIT_CONJUG=2,2,0.19552
CS_RACA=4 & OUT_VEZES=1,2,0.195
AG_AMEACA=2 & SG_UF=35,2,0.19128
AUTOR_SEXO=1 & SIT_CONJUG=2,2,0.19122
CS_RACA=4 & SIT_CONJUG=1,2,0.18764
OUT_VEZES=1 & REDE_SAU=2,2,0.18248
REDE_SAU=1 & SG_UF=35,2,0.18198
AUTOR_SEXO=1 & SG_UF=35,2,0.18094
CS_RACA=4 & OUT_VEZES=2,2,0.18012
OUT_VEZES=1 & SIT_CONJUG=1,2,0.1753
AG_AMEACA=1 & ORIENT_SEX=1,2,0.17368
CS_RACA=4 & REDE_SAU=2,2,0.17328
OUT_VEZES=2 & SIT_CONJUG=1,2,0.1727
ORIENT_SEX=8 & SIT_CONJUG=8,2,0.1724
CS_RACA=1 & OUT_VEZES=1,2,0.16844
AG_AMEACA=2 & ORIENT_SEX=8,2,0.1676
ORIENT_SEX=1 & SG_UF=35,2,0.16752
AG_AMEACA=2 & CS_ESCOL_N=09,2,0.16258
AG_AMEACA=1 & OUT_VEZES=1,2,0.15632
AG_AMEACA=2 & SIT_CONJUG=2,2,0.15506
AG_AMEACA=2 & SIT_CONJUG=8,2,0.15166
CS_ESCOL_N=06 & ORIENT_SEX=1,2,0.15122
CS_RACA=1 & OUT_VEZES=2,2,0.1506
AUTOR_SEXO=1 & CS_ESCOL_N=06,2,0.14588
CS_RACA=1 & SIT_CONJUG=1,2,0.14376
REDE_SAU=2 & SIT_CONJUG=1,2,0.14238
AUTOR_SEXO=1 & CS_ESCOL_N=09,2,0.1357
REDE_SAU=1 & SIT_CONJUG=2,2,0.13416
AG_AMEACA=2 & AUTOR_SEXO=2,2,0.13254
ORIENT_SEX=8 & REDE_SAU=1,2,0.13006
CS_RACA=1 & REDE_SAU=2,2,0.12902
CS_RACA=1 & SG_UF=35,2,0.12826
OUT_VEZES=1 & SIT_CONJUG=2,2,0.12574
CS_ESCOL_N=09 & REDE_SAU=1,2,0.1236
OUT_VEZES=2 & REDE_SAU=2,2,0.12152
AG_AMEACA=2 & CS_ESCOL_N=06,2,0.121
REDE_SAU=1 & SIT_CONJUG=8,2,0.11662
AG_AMEACA=1 & REDE_SAU=1,2,0.1162
CS_ESCOL_N=10 & SIT_CONJUG=8,2,0.11598
CS_ESCOL_N=10 & ORIENT_SEX=8,2,0.11484
OUT_VEZES=1 & SG_UF=35,2,0.11122
AG_AMEACA=1 & REDE_SAU=2,2,0.11004
CS_ESCOL_N=09 & ORIENT_SEX=1,2,0.10922
CS_ESCOL_N=06 & REDE_SAU=1,2,0.10902
AUTOR_SEXO=1 & CS_ESCOL_N=03,2,0.1057
CS_RACA=4 & SIT_CONJUG=2,2,0.105
AG_AMEACA=1 & CS_RACA=4,2,0.10494
OUT_VEZES=2 & SG_UF=35,2,0.10432
CS_ESCOL_N=09 & CS_RACA=4,2,0.1025
AUTOR_SEXO=2 & REDE_SAU=1,2,0.10064
AG_AMEACA=2 & CS_ESCOL_N=10,2,0.09988
AUTOR_SEXO=1 & ORIENT_SEX=8,2,0.09972
AG_AMEACA=1 & SIT_CONJUG=1,2,0.09948
CS_RACA=4 & ORIENT_SEX=8,2,0.0978
SG_UF=35 & SIT_CONJUG=1,2,0.0972
AG_AMEACA=2 & CS_ESCOL_N=03,2,0.09654
AG_AMEACA=1 & CS_RACA=1,2,0.09154
CS_ESCOL_N=03 & ORIENT_SEX=1,2,0.09108
CS_ESCOL_N=06 & OUT_VEZES=1,2,0.09044
CS_RACA=4 & SG_UF=35,2,0.0896
ORIENT_SEX=8 & OUT_VEZES=2,2,0.08918
CS_RACA=1 & SIT_CONJUG=2,2,0.0886
CS_RACA=4 & SIT_CONJUG=8,2,0.08744
CS_ESCOL_N=06 & SIT_CONJUG=1,2,0.08716
AUTOR_SEXO=1 & SIT_CONJUG=8,2,0.08628
REDE_SAU=2 & SIT_CONJUG=2,2,0.08604
AG_AMEACA=2 & SG_UF=33,2,0.0854
CS_ESCOL_N=06 & CS_RACA=4,2,0.0832
CS_ESCOL_N=03 & REDE_SAU=1,2,0.0827
CS_RACA=1 & ORIENT_SEX=8,2,0.08262
AUTOR_SEXO=1 & SG_UF=33,2,0.08212
AUTOR_SEXO=2 & OUT_VEZES=2,2,0.08164
OUT_VEZES=2 & SIT_CONJUG=8,2,0.07978
CS_ESCOL_N=03 & SIT_CONJUG=1,2,0.07756
CS_ESCOL_N=06 & OUT_VEZES=2,2,0.07664
AUTOR_SEXO=2 & ORIENT_SEX=1,2,0.07602
CS_ESCOL_N=06 & CS_RACA=1,2,0.07542
CS_RACA=1 & SIT_CONJUG=8,2,0.0752
AUTOR_SEXO=1 & CS_RACA=2,2,0.07494
CS_ESCOL_N=10 & REDE_SAU=1,2,0.07488
CS_ESCOL_N=09 & REDE_SAU=2,2,0.0744
OUT_VEZES=2 & SIT_CONJUG=2,2,0.0739
ORIENT_SEX=8 & REDE_SAU=2,2,0.07264
AUTOR_SEXO=1 & CS_ESCOL_N=05,2,0.072
AUTOR_SEXO=2 & CS_RACA=4,2,0.07188
CS_ESCOL_N=03 & OUT_VEZES=1,2,0.07136
CS_ESCOL_N=05 & ORIENT_SEX=1,2,0.07108
CS_ESCOL_N=09 & OUT_VEZES=1,2,0.07064
AG_AMEACA=2 & CS_RACA=2,2,0.06952
ORIENT_SEX=1 & SG_UF=33,2,0.0692
CS_ESCOL_N=03 & CS_RACA=4,2,0.06902
AG_AMEACA=1 & SIT_CONJUG=2,2,0.06824
