antecedent,consequent,support,confidence,lift,antecedent_support,consequent_support,leverage,conviction
AUTOR_SEXO=2 & SIT_CONJUG=8,CS_ESCOL_N=10,0.03474,0.7216452014956377,6.18164469329825,0.04814,0.11674,0.0291201364,3.1731445074626867
OUT_VEZES=2 & SIT_CONJUG=8,CS_ESCOL_N=10,0.0545,0.6831286036600651,5.851709813774757,0.07978,0.11674,0.0451864828,2.787439984177215
ORIENT_SEX=8 & SIT_CONJUG=8,CS_ESCOL_N=10,0.11474,0.6655452436194895,5.7010899744688155,0.1724,0.11674,0.09461402399999999,2.640895317377731
AG_AMEACA=2 & SIT_CONJUG=8,CS_ESCOL_N=10,0.09924,0.6543584333377291,5.605263263129426,0.15166,0.11674,0.08153521159999999,2.555421816100725
AUTOR_SEXO=2 & ORIENT_SEX=8,CS_ESCOL_N=10,0.03438,0.6516300227445034,5.581891577389956,0.05276,0.11674,0.0282207976,2.535407921653972
CS_RACA=1 & SIT_CONJUG=8,CS_ESCOL_N=10,0.04866,0.6470744680851064,5.542868494818455,0.0752,0.11674,0.039881152,2.502680934438583
REDE_SAU=1 & SIT_CONJUG=8,CS_ESCOL_N=10,0.07456,0.6393414508660608,5.4766271275146545,0.11662,0.11674,0.0609457812,2.4490200000000004
CS_ESCOL_N=10 & ORIENT_SEX=8,SIT_CONJUG=8,0.11474,0.9991292232671543,5.357835817605932,0.11484,0.18648,0.0933246368,934.2463679999488
CS_ESCOL_N=10 & CS_RACA=1,SIT_CONJUG=8,0.04866,0.9975399753997541,5.349313467394649,0.04878,0.18648,0.0395635056,330.69588000001943
CS_ESCOL_N=10 & OUT_VEZES=2,SIT_CONJUG=8,0.0545,0.9967081199707388,5.344852638195725,0.05468,0.18648,0.0443032736,247.12929777777643
CS_ESCOL_N=10 & REDE_SAU=1,SIT_CONJUG=8,0.07456,0.9957264957264957,5.339588672922006,0.07488,0.18648,0.0605963776,190.36368000000067
AG_AMEACA=2 & CS_ESCOL_N=10,SIT_CONJUG=8,0.09924,0.9935923107729275,5.3281440946639185,0.09988,0.18648,0.0806143776,126.95996500000042
CS_ESCOL_N=10,SIT_CONJUG=8,0.11598,0.9934898064074011,5.3275944144541025,0.11674,0.18648,0.0942103248,124.9609536842121
SIT_CONJUG=8,CS_ESCOL_N=10,0.11598,0.6219433719433719,5.3275944144541025,0.18648,0.11674,0.0942103248,2.336316663829787
AUTOR_SEXO=2 & CS_ESCOL_N=10,SIT_CONJUG=8,0.03474,0.993138936535163,5.325712872882685,0.03498,0.18648,0.0282169296,118.57054000000177
AUTOR_SEXO=1 & CS_ESCOL_N=10,SIT_CONJUG=8,0.04232,0.9920300046882327,5.319766219906867,0.04266,0.18648,0.0343647632,102.07283294117804
CS_ESCOL_N=10 & CS_RACA=4,SIT_CONJUG=8,0.05346,0.9903668025194516,5.310847289357849,0.05398,0.18648,0.0433938096,84.44963384615376
CS_ESCOL_N=10 & REDE_SAU=2,SIT_CONJUG=8,0.03838,0.9886656362699638,5.301724776222457,0.03882,0.18648,0.031140846399999998,71.77465090909033
CS_RACA=4 & SIT_CONJUG=8,CS_ESCOL_N=10,0.05346,0.6113906678865507,5.237199485065537,0.08744,0.11674,0.0432522544,2.272873878752207
ORIENT_SEX=8 & OUT_VEZES=2,CS_ESCOL_N=10,0.05396,0.6050684009867684,5.183042667352821,0.08918,0.11674,0.043549126800000004,2.2364885519591144
REDE_SAU=2 & SIT_CONJUG=8,CS_ESCOL_N=10,0.03838,0.5917360468701819,5.068837132689583,0.06486,0.11674,0.030808243599999997,2.1634533081570995
AG_AMEACA=2 & ORIENT_SEX=8,CS_ESCOL_N=10,0.0982,0.5859188544152745,5.019006804996355,0.1676,0.11674,0.07863437599999999,2.133060172910663
CS_RACA=1 & ORIENT_SEX=8,CS_ESCOL_N=10,0.04838,0.5855725006051803,5.016039922949977,0.08262,0.11674,0.0387349412,2.1312774883177568
AUTOR_SEXO=3 & ORIENT_SEX=8,SIT_CONJUG=8,0.03542,0.92,4.933504933504934,0.0385,0.18648,0.028240519999999998,10.169000000000006
ORIENT_SEX=8 & REDE_SAU=1,CS_ESCOL_N=10,0.07412,0.5698908196217131,4.881709950502938,0.13006,0.11674,0.05893679560000001,2.053571605291384
CS_ESCOL_N=10 & CS_RACA=1,ORIENT_SEX=8,0.04838,0.99179991799918,4.779297985732363,0.04878,0.20752,0.038257174399999996,96.64293599999999
CS_ESCOL_N=10 & REDE_SAU=1,ORIENT_SEX=8,0.07412,0.9898504273504274,4.769903755543694,0.07488,0.20752,0.0585809024,78.08013473684238
CS_ESCOL_N=10 & SIT_CONJUG=8,ORIENT_SEX=8,0.11474,0.9893085014657699,4.767292316238289,0.11598,0.20752,0.09067183039999999,74.12244387096715
CS_ESCOL_N=10 & OUT_VEZES=2,ORIENT_SEX=8,0.05396,0.9868324798829554,4.755360832126809,0.05468,0.20752,0.0426128064,60.18445333333351
CS_ESCOL_N=10,ORIENT_SEX=8,0.11484,0.9837245160185026,4.7403841365579344,0.11674,0.20752,0.0906141152,48.69163957894731
ORIENT_SEX=8,CS_ESCOL_N=10,0.11484,0.5533924441017732,4.7403841365579344,0.20752,0.11674,0.0906141152,1.9777094864048335
AG_AMEACA=2 & CS_ESCOL_N=10,ORIENT_SEX=8,0.0982,0.9831798157789348,4.737759328156008,0.09988,0.20752,0.07747290239999999,47.11482285714297
AUTOR_SEXO=2 & CS_ESCOL_N=10,ORIENT_SEX=8,0.03438,0.9828473413379075,4.736157196115591,0.03498,0.20752,0.027120950400000003,46.20158400000039
AUTOR_SEXO=1 & CS_ESCOL_N=10,ORIENT_SEX=8,0.04192,0.982653539615565,4.735223301925429,0.04266,0.20752,0.0330671968,45.68540108108128
CS_ESCOL_N=10 & REDE_SAU=2,ORIENT_SEX=8,0.03798,0.9783616692426584,4.714541582703635,0.03882,0.20752,0.0299240736,36.62389714285717
CS_ESCOL_N=10 & CS_RACA=4,ORIENT_SEX=8,0.05274,0.9770285290848463,4.708117430054194,0.05398,0.20752,0.0415380704,34.4984438709678
AUTOR_SEXO=3 & SIT_CONJUG=8,ORIENT_SEX=8,0.03542,0.9635473340587595,4.643154076998648,0.03676,0.20752,0.0277915648,21.739973731343255
AUTOR_SEXO=2 & ORIENT_SEX=8,SIT_CONJUG=8,0.0456,0.8642911296436695,4.634765817479995,0.05276,0.18648,0.035761315200000005,5.994597094972069
CS_RACA=4 & ORIENT_SEX=8,CS_ESCOL_N=10,0.05274,0.5392638036809816,4.619357578216392,0.0978,0.11674,0.041322828000000006,1.9170623169107857
CS_RACA=1 & ORIENT_SEX=8,SIT_CONJUG=8,0.07054,0.8537884289518277,4.578445028699204,0.08262,0.18648,0.05513302240000001,5.563991920529804
AUTOR_SEXO=2 & SIT_CONJUG=8,ORIENT_SEX=8,0.0456,0.9472372247611134,4.564558716080924,0.04814,0.20752,0.0356099872,15.019679999999989
ORIENT_SEX=8 & SG_UF=35,SIT_CONJUG=8,0.037,0.8501838235294117,4.559115312791783,0.04352,0.18648,0.028884390399999998,5.430121226993863
CS_RACA=1 & SIT_CONJUG=8,ORIENT_SEX=8,0.07054,0.938031914893617,4.5202000524943,0.0752,0.20752,0.054934496000000006,12.788518454935625
AG_AMEACA=2 & ORIENT_SEX=8,SIT_CONJUG=8,0.14084,0.8403341288782816,4.506296272406058,0.1676,0.18648,0.10958595199999999,5.095140209267564
